,Node Label,PN incoming Connections,FSI incoming Connections,LTS incoming Connections
558,PN,0,1,0
559,PN,12,24,12
560,PN,17,17,12
561,PN,2,0,2
562,PN,20,15,12
563,PN,10,6,7
564,PN,49,36,24
565,PN,19,19,15
566,PN,33,32,23
567,PN,22,15,6
568,PN,4,5,3
569,PN,18,24,18
570,PN,7,12,7
571,PN,5,14,7
572,PN,9,9,9
573,PN,34,26,14
574,PN,0,1,3
575,PN,27,21,13
576,PN,10,5,5
577,PN,1,2,0
578,PN,9,13,6
579,PN,17,18,10
580,PN,1,4,2
581,PN,1,5,4
582,PN,35,35,22
583,PN,18,20,16
584,PN,1,2,0
585,PN,5,9,6
586,PN,10,4,4
587,PN,9,3,5
588,PN,12,12,15
589,PN,11,10,14
590,PN,37,28,20
591,PN,18,19,12
592,PN,29,25,23
593,PN,15,24,15
594,PN,16,16,6
595,PN,0,0,0
596,PN,14,14,5
597,PN,15,15,7
598,PN,1,0,1
599,PN,18,14,12
600,PN,24,22,14
601,PN,34,38,20
602,PN,0,1,2
603,PN,0,0,0
604,PN,13,6,11
605,PN,0,0,0
606,PN,35,30,18
607,PN,0,0,0
608,PN,41,36,24
609,PN,18,12,10
610,PN,24,15,16
611,PN,5,7,8
612,PN,0,0,0
613,PN,5,3,3
614,PN,18,12,6
615,PN,0,0,0
616,PN,17,9,8
617,PN,27,31,10
618,PN,21,20,20
619,PN,0,0,0
620,PN,31,30,18
621,PN,0,5,1
622,PN,14,14,9
623,PN,0,1,2
624,PN,25,23,22
625,PN,1,1,1
626,PN,2,2,0
627,PN,17,20,10
628,PN,13,11,9
629,PN,7,1,1
630,PN,3,2,3
631,PN,0,1,0
632,PN,4,5,6
633,PN,4,7,3
634,PN,7,4,0
635,PN,11,18,17
636,PN,7,17,12
637,PN,1,0,0
638,PN,13,20,11
639,PN,5,4,2
640,PN,36,25,24
641,PN,16,10,8
642,PN,4,11,12
643,PN,1,2,1
644,PN,28,27,11
645,PN,24,32,12
646,PN,0,1,0
647,PN,12,16,10
648,PN,15,15,14
649,PN,18,21,14
650,PN,22,27,23
651,PN,39,17,12
652,PN,8,3,4
653,PN,1,1,1
654,PN,9,7,2
655,PN,4,2,6
656,PN,1,3,1
657,PN,0,3,0
658,PN,3,8,0
659,PN,36,23,19
660,PN,23,23,19
661,PN,14,9,6
662,PN,28,23,14
663,PN,25,16,16
664,PN,28,38,18
665,PN,3,1,1
666,PN,18,21,16
667,PN,23,22,10
668,PN,4,3,5
669,PN,3,5,2
670,PN,3,2,6
671,PN,18,20,6
672,PN,38,35,24
673,PN,10,15,13
674,PN,0,0,0
675,PN,4,7,5
676,PN,30,29,13
677,PN,14,11,7
678,PN,10,15,7
679,PN,17,19,10
680,PN,19,17,11
681,PN,20,19,14
682,PN,28,32,27
683,PN,0,0,1
684,PN,13,13,6
685,PN,12,15,15
686,PN,37,34,27
687,PN,0,0,0
688,PN,0,0,0
689,PN,15,13,15
690,PN,2,4,0
691,PN,5,0,1
692,PN,3,3,4
693,PN,15,14,7
694,PN,30,28,22
695,PN,19,21,11
696,PN,0,1,0
697,PN,8,3,3
698,PN,3,1,3
699,PN,12,14,12
700,PN,16,16,17
701,PN,19,19,17
702,PN,0,0,0
703,PN,10,13,10
704,PN,14,17,10
705,PN,4,12,5
706,PN,3,1,3
707,PN,1,6,3
708,PN,28,27,12
709,PN,24,19,18
710,PN,14,20,11
711,PN,0,1,1
712,PN,6,6,5
713,PN,4,3,4
714,PN,7,2,3
715,PN,0,0,0
716,PN,0,0,0
717,PN,27,20,16
718,PN,12,17,4
719,PN,0,3,0
720,PN,0,1,1
721,PN,1,0,1
722,PN,1,2,2
723,PN,28,35,19
724,PN,0,4,1
725,PN,22,16,15
726,PN,8,5,3
727,PN,19,27,17
728,PN,15,18,8
729,PN,6,10,5
730,PN,1,2,0
731,PN,2,0,1
732,PN,16,17,7
733,PN,29,41,13
734,PN,0,0,0
735,PN,18,18,12
736,PN,11,10,12
737,PN,26,30,18
738,PN,25,33,14
739,PN,3,7,7
740,PN,14,18,8
741,PN,27,24,17
742,PN,2,0,1
743,PN,34,28,24
744,PN,38,25,18
745,PN,2,2,6
746,PN,6,0,3
747,PN,8,11,9
748,PN,6,6,12
749,PN,27,25,21
750,PN,9,11,3
751,PN,0,2,1
752,PN,3,3,1
753,PN,5,0,1
754,PN,4,6,2
755,PN,38,25,10
756,PN,1,4,1
757,PN,5,3,7
758,PN,52,36,18
759,PN,32,23,23
760,PN,5,11,4
761,PN,31,22,10
762,PN,16,16,13
763,PN,0,0,0
764,PN,8,6,8
765,PN,19,20,18
766,PN,20,13,8
767,PN,22,28,21
768,PN,26,18,11
769,PN,12,30,17
770,PN,0,3,2
771,PN,20,11,12
772,PN,9,15,12
773,PN,12,12,16
774,PN,12,14,13
775,PN,5,4,3
776,PN,6,7,8
777,PN,27,22,20
778,PN,0,0,0
779,PN,1,3,2
780,PN,17,12,9
