,Node Label,PN incoming Connections,FSI incoming Connections,LTS incoming Connections
909,PN,64,47,33
910,PN,68,55,30
911,PN,63,40,39
912,PN,65,44,42
913,PN,30,16,25
914,PN,79,43,36
915,PN,55,23,20
916,PN,96,75,55
917,PN,62,44,35
918,PN,68,31,20
919,PN,41,22,23
920,PN,85,58,51
921,PN,48,28,19
922,PN,40,26,20
923,PN,61,34,31
924,PN,47,22,20
925,PN,59,29,19
926,PN,39,31,23
927,PN,63,44,24
928,PN,72,58,37
929,PN,80,34,37
930,PN,83,53,38
931,PN,42,31,30
932,PN,48,39,22
933,PN,47,25,22
934,PN,76,68,56
935,PN,32,34,21
936,PN,72,45,36
937,PN,70,61,40
938,PN,70,34,25
939,PN,73,37,35
940,PN,66,41,24
941,PN,44,42,25
942,PN,72,56,33
943,PN,83,27,37
944,PN,56,44,34
945,PN,63,56,55
946,PN,61,58,39
947,PN,80,68,35
948,PN,53,54,36
949,PN,73,56,27
950,PN,60,43,34
951,PN,57,26,23
952,PN,66,51,38
953,PN,79,64,48
954,PN,51,42,25
955,PN,80,67,46
956,PN,64,74,47
957,PN,50,39,20
958,PN,69,53,42
959,PN,57,39,32
960,PN,78,66,62
961,PN,43,39,24
962,PN,76,47,30
963,PN,77,53,42
964,PN,53,32,42
965,PN,86,67,37
966,PN,73,59,50
967,PN,32,28,17
968,PN,43,26,19
969,PN,38,37,27
970,PN,62,46,41
971,PN,25,28,6
972,PN,48,36,36
973,PN,75,47,43
974,PN,61,46,31
975,PN,60,44,45
976,PN,34,18,13
977,PN,66,51,31
978,PN,33,25,20
979,PN,74,48,27
980,PN,70,61,44
981,PN,63,39,37
982,PN,23,23,14
983,PN,82,42,38
984,PN,48,26,25
985,PN,89,65,48
986,PN,65,40,34
987,PN,48,35,32
988,PN,65,51,33
989,PN,56,38,36
990,PN,71,57,31
991,PN,45,27,20
992,PN,54,54,35
993,PN,79,60,47
994,PN,35,20,22
995,PN,75,39,45
996,PN,61,42,36
997,PN,39,32,27
998,PN,64,46,49
999,PN,67,34,17
1000,PN,61,57,30
1001,PN,68,39,41
1002,PN,52,39,28
1003,PN,67,30,30
1004,PN,77,33,32
1005,PN,46,29,19
1006,PN,44,44,33
1007,PN,45,38,25
1008,PN,49,41,21
1009,PN,72,40,23
1010,PN,57,64,38
